date,open,high,low,close,unit_volume,bitmex_funding
20160924,602.96,604.58,602.04,602.63,58.67530657,0.000348
20160925,602.75,603.38,599.71,600.83,56.55143718,0.000273
20160926,600.81,608.14,600.35,608.04,97.28603381,0.00201
20160927,608.02,608.25,604.11,606.17,81.53224343,0.004182
20160928,606.24,606.59,604.61,604.73,80.56917963,0.000249
20160929,605.02,606.82,604.85,605.69,91.8928825,0.00129
20160930,605.72,609.73,604.14,609.73,92.04467551,0.002031
20161001,609.93,615.24,609.93,613.98,91.78963484,0.007806
20161002,613.95,614.01,609.68,610.89,64.25019234,0.000264
20161003,610.97,612.57,610.46,612.13,76.45157074,0.001368
20161004,612.05,612.05,609.48,610.2,81.61520813,0.000237
20161005,610.22,613.81,609.62,612.51,111.1451307,0.001611
20161006,612.47,613.82,611.47,613.02,92.67576914,0.000219
20161007,612.61,617.91,611.82,617.12,103.8232435,0.002334
20161008,617.34,619.85,617.34,619.11,68.39802297,0.002004
20161009,619.17,619.2,616.61,616.75,63.62934739,0.00018
20161010,616.82,621.32,616.2,618.99,109.0180843,0.007485
20161011,619.24,642.08,618.5,641.07,161.589218,0.000123
20161012,640.87,641.34,635.97,636.19,145.1927883,0.00272
20161013,636.03,638.83,635.03,636.79,96.76769422,0.000201
20161014,637.01,641.28,637.01,640.38,90.79702677,0.001299
20161015,640.31,642.1,637.39,638.65,61.12174117,0.00516
20161016,639.08,642.9,638.9,641.63,62.80582267,-0.000504
20161017,641.82,642.33,638.66,639.19,90.83934354,0.000378
20161018,639.41,640.74,636,637.96,102.7442159,-0.000231
20161019,638.13,638.87,628.01,630.52,110.0388505,0.00216
20161020,630.66,631.92,628.26,630.86,90.28516628,-0.0021
20161021,630.83,634.09,630.69,632.83,88.41395003,0.00219
20161022,633.14,658.2,632.85,657.29,119.5157328,0.000216
20161023,657.62,661.13,653.89,657.07,82.90532211,0.007374
20161024,657.16,657.25,652.59,653.76,95.16978708,0.01125
20161025,654,664.42,653.7,657.59,137.4394379,0.00289
20161026,657.68,679.73,657.68,678.3,131.0291965,0.004113
20161027,678.21,688.59,678.04,688.31,139.6250178,0.00045
20161028,688,690.44,684.16,689.65,117.6618633,0.001005
20161029,690.29,720.4,690.05,714.48,188.6140858,0.00883
20161030,714.12,714.12,696.47,701.86,143.4260394,0.00027
20161031,702.64,709.29,691.68,700.97,138.4715466,0.002226
20161101,701.34,736.45,701.34,729.79,178.8555612,0.01125
20161102,730.07,740.83,722.35,740.83,114.5542162,0.01125
20161103,742.35,745.77,678.16,688.7,250.919123,0.007968
20161104,689.12,706.93,685.56,703.23,142.0697297,0.000741
20161105,703.53,707.51,697.74,703.42,76.41565494,0.000303
20161106,703.81,714.26,699.56,711.52,84.18906004,0.007005
20161107,710.74,710.74,699.9,703.13,92.51077326,0.002241
20161108,703.09,712.99,702.39,709.85,112.2220187,-0.001899
20161109,709.83,740.05,708.61,723.27,183.0975984,0.004002
20161110,722.84,723.02,711.21,715.53,96.16340335,0.002502
20161111,715.55,718.32,714.41,716.41,88.10555408,0.003606
20161112,716.75,717.15,704.03,705.05,91.6566201,0.000417
20161113,705.2,705.26,687.32,702.03,114.4083529,0.00033
20161114,702,706.28,699.81,705.02,89.34923832,0.000333
20161115,705.79,715.72,705.26,711.62,101.2316911,0.000843
20161116,711.17,747.61,709.04,744.2,189.8602526,0.000792
20161117,744.88,755.65,739.51,740.98,146.5343194,0.00942
20161118,740.71,752.88,736.89,751.59,116.2377147,0.004251
20161119,751.83,756.24,744.47,751.62,147.1594689,0.000882
20161120,751.88,755.48,717.94,731.03,210.8203494,0.00081
20161121,731.27,741.72,730.51,739.25,82.24876564,0.000819
20161122,739.64,753.87,736.53,751.35,172.8967858,0.000873
20161123,751.74,752.25,738.92,744.59,102.7999302,0.00342
20161124,744.62,746.83,733.49,740.29,116.0616731,0.00093
20161125,740.44,741.65,734.59,741.65,91.42803209,0.001125
20161126,741.51,742.21,729.63,735.38,74.7405423,0.00123
20161127,735.44,739.02,731.09,732.03,71.85743754,0.000795
20161128,732.48,738.01,732.48,735.81,84.10948479,0.000897
20161129,736.33,737.47,734.56,735.6,93.13635672,0.000948
20161130,736.28,747.93,736.27,745.69,112.7422924,0.001071
20161201,746.05,758.28,746.05,756.77,106.3227982,0.001086
20161202,757.54,781.3,757.54,777.94,164.0293596,0.003666
20161203,778.25,778.25,764.86,771.16,90.18530007,0.001047
20161204,771.64,773.87,768.16,773.87,78.2533242,0.002355
20161205,773.39,773.47,751.71,758.7,140.1911164,0.002607
20161206,758.72,765.62,758.72,764.22,152.0740101,0.00063
20161207,764.21,771.54,759.75,768.13,125.5335633,0.00042
20161208,768.08,774.7,765.95,770.81,103.9321026,-0.001092
20161209,769.94,774.53,769.65,772.79,88.90551896,0.000294
20161210,773.02,777.09,772.91,774.65,69.50635771,0.0009
20161211,774.75,774.8,765.41,769.73,74.45909605,0.000075
20161212,770.04,781.92,770.04,780.09,98.15662295,0.000018
20161213,780.65,788.46,777.96,780.56,104.5987496,0.002064
20161214,780.01,782.03,776.84,781.48,97.22449711,0.000102
20161215,780.07,781.43,777.8,778.09,104.8466064,0.001608
